                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3615,                 2.4191,                  1.281,                0.69431,                0.65489,                0.71186,                0.42139,                 1.2865,                 2.0889,                 1.2323,             0.00047475,             0.00047475,             0.00047475
                      2,                 1.3274,                 1.4413,                 1.2692,                0.84072,                0.78499,                0.86321,                0.51614,                 1.3273,                 1.2127,                 1.3019,             0.00094167,             0.00094167,             0.00094167
                      3,                 1.3318,                 1.1614,                 1.2761,                0.86965,                0.77799,                0.89086,                  0.567,                 1.2476,                 1.1426,                 1.2708,              0.0013992,              0.0013992,              0.0013992
                      4,                 1.3066,                 1.0518,                 1.2587,                0.90189,                0.81373,                0.90524,                0.57655,                 1.2182,                 1.0504,                 1.2276,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.2735,                0.95512,                 1.2385,                0.91249,                0.84345,                0.92056,                0.62277,                  1.153,                0.74338,                 1.1903,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.2343,                0.88582,                 1.2171,                0.92316,                0.87875,                0.93445,                0.62864,                 1.1662,                0.72653,                  1.185,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.2367,                0.87938,                 1.2145,                0.91358,                0.85738,                0.92671,                0.60568,                  1.178,                0.74586,                 1.1832,              0.0013441,              0.0013441,              0.0013441
                      8,                  1.203,                0.81828,                 1.1948,                0.93896,                0.87976,                0.93711,                0.63556,                 1.1438,                0.66018,                 1.1701,                0.00133,                0.00133,                0.00133
                      9,                 1.1749,                0.78518,                 1.1837,                0.94235,                 0.9063,                0.95665,                0.65378,                 1.1088,                0.59799,                 1.1584,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.1734,                0.77225,                  1.183,                0.95566,                0.88896,                0.95623,                0.66718,                 1.0907,                0.58692,                 1.1524,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.1578,                0.74106,                 1.1732,                0.96154,                0.90225,                0.96441,                0.66953,                 1.1201,                0.58395,                 1.1518,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.1571,                 0.7371,                 1.1742,                0.94693,                0.91327,                0.95748,                0.67704,                 1.0425,                0.56044,                  1.117,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.1435,                0.72478,                 1.1646,                0.95729,                0.91248,                0.96734,                0.67771,                 1.0791,                0.53586,                 1.1398,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.1251,                0.70772,                 1.1539,                0.96669,                0.93247,                0.97198,                0.68643,                 1.0615,                0.50685,                 1.1233,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.1164,                0.68625,                 1.1496,                0.95699,                0.92204,                0.96867,                0.68035,                 1.0652,                0.54023,                 1.1244,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.1153,                0.68861,                 1.1467,                 0.9554,                 0.9142,                0.97075,                0.69245,                 1.0451,                0.50864,                 1.1188,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.1063,                0.67338,                 1.1454,                0.96086,                0.92187,                0.96991,                0.68095,                 1.0514,                0.51519,                 1.1289,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.0959,                0.65472,                 1.1438,                0.95793,                0.92096,                0.96981,                0.69818,                 1.0403,                0.49234,                 1.1108,              0.0011885,              0.0011885,              0.0011885
                     19,                  1.092,                0.65999,                 1.1335,                0.95951,                0.93015,                0.96962,                 0.6912,                 1.0395,                0.50606,                 1.1071,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.0784,                0.64228,                 1.1287,                0.96517,                 0.9333,                0.97834,                0.69329,                 1.0512,                0.47796,                 1.1235,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.0803,                0.63216,                 1.1303,                0.96742,                0.91874,                0.97461,                0.70371,                 1.0288,                0.48319,                 1.1014,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.0719,                0.62918,                 1.1233,                0.96507,                0.93354,                0.97819,                0.71905,                0.99976,                0.46174,                 1.0896,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.0671,                0.61443,                 1.1264,                0.97497,                0.93094,                 0.9773,                0.71402,                 1.0049,                0.46277,                 1.0946,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.0614,                0.60779,                 1.1218,                0.96279,                0.93737,                0.97637,                0.70942,                 1.0129,                0.46497,                 1.0931,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.0535,                 0.6128,                 1.1184,                 0.9632,                0.92959,                0.97801,                0.71669,                 1.0052,                0.45741,                 1.0866,              0.0010895,              0.0010895,              0.0010895
                     26,                  1.044,                0.60362,                  1.113,                  0.963,                 0.9269,                0.97136,                0.71782,                 0.9852,                0.46165,                 1.0798,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.0326,                0.60504,                 1.1059,                 0.9641,                0.93617,                 0.9756,                0.71575,                0.98926,                0.44711,                 1.0857,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.0365,                 0.5924,                 1.1065,                0.96726,                0.93453,                0.97476,                0.72131,                 0.9763,                0.43799,                 1.0805,               0.001047,               0.001047,               0.001047
                     29,                  1.032,                0.58786,                 1.1031,                0.96563,                0.93566,                0.97912,                0.73056,                0.96979,                0.43534,                 1.0742,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.0304,                0.58321,                 1.1021,                0.97036,                0.94301,                0.98134,                0.73205,                0.97406,                0.42185,                 1.0782,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.0313,                0.58277,                 1.0986,                0.96634,                0.94641,                0.98103,                0.72322,                0.97483,                0.42569,                 1.0806,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.0191,                0.57452,                 1.0983,                0.95905,                0.95217,                0.97888,                0.72461,                 0.9715,                0.43373,                 1.0731,             0.00099044,             0.00099044,             0.00099044
                     33,                 1.0298,                0.58632,                  1.105,                0.97102,                0.94488,                0.98049,                0.73202,                0.96539,                0.41873,                 1.0654,             0.00097629,             0.00097629,             0.00097629
                     34,                  1.018,                0.57047,                 1.1052,                0.96461,                0.94892,                0.98093,                0.72394,                0.96204,                0.42789,                 1.0733,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.0085,                0.55743,                 1.0935,                0.97764,                0.94642,                0.98262,                0.74172,                0.95875,                0.40855,                 1.0662,               0.000948,               0.000948,               0.000948
                     36,                 1.0077,                0.55974,                 1.0903,                0.96904,                0.95513,                 0.9847,                0.74244,                0.95233,                 0.4139,                 1.0633,             0.00093385,             0.00093385,             0.00093385
                     37,                0.99969,                0.55226,                 1.0879,                0.97094,                0.95325,                0.98531,                0.74311,                 0.9556,                0.40404,                 1.0648,              0.0009197,              0.0009197,              0.0009197
                     38,                0.98267,                0.54093,                  1.075,                0.97427,                0.94853,                 0.9854,                0.73381,                0.95583,                0.40485,                 1.0638,             0.00090556,             0.00090556,             0.00090556
                     39,                0.99205,                0.53829,                 1.0797,                0.97016,                0.94858,                0.98321,                0.74235,                0.94076,                0.40256,                 1.0583,             0.00089141,             0.00089141,             0.00089141
                     40,                0.97718,                0.53285,                 1.0791,                0.97545,                0.94819,                0.98245,                0.73511,                0.95807,                 0.3995,                 1.0668,             0.00087726,             0.00087726,             0.00087726
                     41,                0.99021,                0.54013,                 1.0873,                0.97502,                0.95052,                0.98303,                0.73708,                0.94627,                0.40234,                 1.0596,             0.00086312,             0.00086312,             0.00086312
                     42,                0.97198,                0.53274,                 1.0717,                0.96712,                 0.9553,                0.98519,                0.74603,                0.93215,                0.39072,                 1.0577,             0.00084897,             0.00084897,             0.00084897
                     43,                0.96518,                 0.5199,                 1.0716,                0.96723,                0.94796,                 0.9821,                0.74533,                0.92942,                 0.3968,                 1.0518,             0.00083482,             0.00083482,             0.00083482
                     44,                0.96565,                0.51663,                 1.0722,                0.98022,                0.95066,                0.98584,                0.74711,                0.94484,                0.38982,                 1.0576,             0.00082067,             0.00082067,             0.00082067
                     45,                0.97506,                0.52629,                 1.0695,                0.97854,                0.94741,                0.98618,                0.75126,                0.93343,                0.38286,                 1.0499,             0.00080653,             0.00080653,             0.00080653
                     46,                 0.9568,                0.51365,                 1.0686,                0.97072,                0.96545,                0.98854,                0.75665,                0.91694,                0.37564,                 1.0421,             0.00079238,             0.00079238,             0.00079238
                     47,                0.95819,                0.51135,                 1.0652,                0.97394,                 0.9565,                0.98477,                0.75056,                0.92488,                0.37698,                 1.0489,             0.00077823,             0.00077823,             0.00077823
                     48,                 0.9548,                 0.5077,                 1.0615,                 0.9717,                0.95461,                0.98797,                0.75546,                0.91243,                0.37647,                 1.0408,             0.00076409,             0.00076409,             0.00076409
                     49,                0.94769,                0.49432,                  1.059,                0.98158,                0.95389,                  0.987,                0.76249,                0.90968,                0.36887,                 1.0354,             0.00074994,             0.00074994,             0.00074994
                     50,                0.94817,                0.49922,                  1.059,                0.97524,                0.96167,                 0.9864,                0.75472,                0.91553,                 0.3802,                 1.0389,             0.00073579,             0.00073579,             0.00073579
                     51,                0.93836,                0.50234,                 1.0584,                0.96943,                  0.955,                0.98496,                0.75864,                0.90832,                0.37947,                 1.0406,             0.00072164,             0.00072164,             0.00072164
                     52,                0.93494,                0.49092,                 1.0521,                0.96993,                 0.9661,                0.98793,                0.76012,                0.90432,                0.36726,                 1.0376,              0.0007075,              0.0007075,              0.0007075
                     53,                0.92921,                0.48958,                 1.0488,                0.97918,                0.95634,                0.98501,                0.75152,                  0.911,                 0.3684,                 1.0429,             0.00069335,             0.00069335,             0.00069335
                     54,                0.93276,                0.48493,                 1.0521,                0.97582,                0.96179,                0.98618,                0.75814,                0.90756,                0.36726,                 1.0394,              0.0006792,              0.0006792,              0.0006792
                     55,                0.92775,                0.48634,                 1.0519,                0.97988,                0.95726,                0.98642,                0.76459,                0.90078,                 0.3613,                 1.0366,             0.00066506,             0.00066506,             0.00066506
                     56,                0.92861,                0.48265,                 1.0519,                0.98086,                0.96516,                0.98822,                0.76531,                0.90366,                0.35918,                 1.0375,             0.00065091,             0.00065091,             0.00065091
                     57,                0.92108,                0.48131,                 1.0487,                0.97069,                0.96208,                0.98807,                0.76444,                0.89622,                0.36327,                 1.0322,             0.00063676,             0.00063676,             0.00063676
                     58,                0.91715,                0.48097,                 1.0446,                0.98368,                0.95659,                0.98956,                0.76381,                0.89109,                0.35275,                 1.0332,             0.00062262,             0.00062262,             0.00062262
                     59,                 0.9095,                0.46272,                 1.0444,                0.97586,                0.96578,                 0.9896,                0.76429,                0.88132,                0.35419,                 1.0313,             0.00060847,             0.00060847,             0.00060847
                     60,                0.90802,                0.47474,                 1.0463,                  0.979,                0.96294,                0.99031,                0.76766,                0.89023,                0.35204,                 1.0307,             0.00059432,             0.00059432,             0.00059432
                     61,                0.91338,                0.47316,                 1.0431,                0.97761,                0.95962,                0.98887,                0.76287,                0.88748,                0.35308,                 1.0272,             0.00058017,             0.00058017,             0.00058017
                     62,                0.91785,                0.47751,                  1.045,                0.98737,                0.95962,                0.98948,                0.77063,                0.87754,                0.34432,                 1.0251,             0.00056603,             0.00056603,             0.00056603
                     63,                0.89332,                0.46148,                 1.0309,                0.98221,                0.96316,                0.98933,                 0.7686,                0.88228,                0.34693,                 1.0258,             0.00055188,             0.00055188,             0.00055188
                     64,                0.89341,                0.45952,                 1.0308,                   0.98,                0.96382,                0.98794,                0.77013,                0.87682,                 0.3443,                 1.0215,             0.00053773,             0.00053773,             0.00053773
                     65,                0.89724,                0.45834,                 1.0357,                0.97566,                0.96581,                0.98629,                0.76794,                0.88082,                0.34747,                 1.0235,             0.00052359,             0.00052359,             0.00052359
                     66,                0.89357,                 0.4562,                 1.0338,                0.98013,                0.95412,                 0.9871,                0.76832,                0.87538,                0.34957,                 1.0193,             0.00050944,             0.00050944,             0.00050944
                     67,                0.88643,                0.45159,                  1.032,                0.96951,                0.96601,                0.98853,                0.77623,                 0.8664,                0.34253,                 1.0129,             0.00049529,             0.00049529,             0.00049529
                     68,                  0.889,                0.45214,                 1.0296,                0.98279,                0.96422,                0.98975,                0.77146,                0.86633,                0.33943,                  1.016,             0.00048114,             0.00048114,             0.00048114
                     69,                0.87221,                0.44351,                 1.0228,                0.98536,                0.96548,                0.99074,                 0.7739,                0.86647,                0.33844,                 1.0135,               0.000467,               0.000467,               0.000467
                     70,                0.86468,                0.43722,                  1.021,                0.98307,                0.96395,                0.99068,                0.78226,                0.86309,                0.33095,                  1.013,             0.00045285,             0.00045285,             0.00045285
                     71,                0.86254,                0.43107,                 1.0218,                0.98124,                 0.9606,                0.99068,                0.78087,                0.86118,                0.33344,                 1.0117,              0.0004387,              0.0004387,              0.0004387
                     72,                0.87014,                 0.4404,                 1.0268,                0.98117,                0.96196,                 0.9894,                0.77694,                0.86078,                0.33604,                  1.012,             0.00042456,             0.00042456,             0.00042456
                     73,                0.86167,                0.42938,                 1.0177,                0.98755,                0.96152,                0.99094,                0.77976,                 0.8626,                 0.3305,                 1.0102,             0.00041041,             0.00041041,             0.00041041
                     74,                0.86095,                0.43887,                 1.0174,                0.98145,                0.96679,                0.99051,                0.78192,                0.86122,                0.32975,                  1.009,             0.00039626,             0.00039626,             0.00039626
                     75,                0.85088,                0.42567,                 1.0128,                 0.9848,                0.96144,                0.98984,                0.78447,                0.85356,                0.32819,                 1.0084,             0.00038211,             0.00038211,             0.00038211
                     76,                0.84429,                0.42538,                 1.0107,                 0.9836,                0.96005,                0.98952,                0.78192,                0.84956,                0.33067,                 1.0067,             0.00036797,             0.00036797,             0.00036797
                     77,                0.85459,                0.43273,                 1.0134,                0.98392,                0.96267,                0.99038,                0.78489,                0.85077,                0.32886,                 1.0087,             0.00035382,             0.00035382,             0.00035382
                     78,                0.85271,                0.42945,                 1.0113,                0.98579,                0.96103,                0.99025,                0.78569,                0.84571,                0.32936,                 1.0025,             0.00033967,             0.00033967,             0.00033967
                     79,                0.83529,                0.41099,                 1.0048,                0.98387,                0.96263,                 0.9898,                 0.7873,                0.84494,                 0.3311,                 1.0022,             0.00032553,             0.00032553,             0.00032553
                     80,                0.84127,                0.41946,                 1.0142,                0.98128,                0.96475,                0.99063,                0.78632,                0.84627,                0.32589,                 1.0057,             0.00031138,             0.00031138,             0.00031138
                     81,                0.83455,                 0.4155,                 1.0096,                0.98273,                0.96387,                0.98967,                0.78409,                0.84929,                0.32633,                 1.0075,             0.00029723,             0.00029723,             0.00029723
                     82,                0.82932,                0.41478,                 1.0045,                0.98148,                 0.9676,                0.99103,                0.78823,                0.84331,                0.32124,                 1.0063,             0.00028308,             0.00028308,             0.00028308
                     83,                 0.8327,                0.41443,                 1.0038,                0.98034,                0.97081,                 0.9913,                0.78872,                 0.8442,                0.32203,                 1.0061,             0.00026894,             0.00026894,             0.00026894
                     84,                0.82505,                0.40492,                 1.0034,                0.98012,                0.96442,                0.99127,                0.78589,                0.84462,                0.32245,                 1.0045,             0.00025479,             0.00025479,             0.00025479
                     85,                 0.8282,                0.40149,                 1.0015,                0.98027,                0.96304,                0.98995,                0.78513,                0.84107,                0.32199,                 1.0035,             0.00024064,             0.00024064,             0.00024064
                     86,                0.81861,                0.40103,                0.99861,                  0.985,                0.96219,                0.99119,                0.78699,                0.83696,                0.31968,                 1.0012,              0.0002265,              0.0002265,              0.0002265
                     87,                0.81191,                 0.3982,                0.99835,                0.98346,                0.96359,                0.99024,                0.78797,                0.83666,                0.32015,                 1.0004,             0.00021235,             0.00021235,             0.00021235
                     88,                0.82037,                0.39779,                0.99495,                0.98177,                 0.9683,                0.99069,                0.78993,                0.83497,                0.31688,                0.99972,              0.0001982,              0.0001982,              0.0001982
                     89,                0.81433,                0.39191,                0.99634,                0.98413,                0.96468,                0.99141,                0.78984,                0.83371,                0.31649,                0.99856,             0.00018406,             0.00018406,             0.00018406
                     90,                0.80752,                0.39481,                0.99799,                0.98183,                0.96272,                 0.9909,                0.79085,                0.83206,                0.31554,                 0.9997,             0.00016991,             0.00016991,             0.00016991
                     91,                 0.7826,                0.32987,                0.98226,                0.98049,                0.97082,                 0.9911,                0.79023,                0.83236,                0.31209,                 1.0009,             0.00015576,             0.00015576,             0.00015576
                     92,                0.78293,                0.32965,                0.98421,                0.98217,                0.96798,                0.99166,                0.79294,                0.82982,                0.31303,                0.99959,             0.00014161,             0.00014161,             0.00014161
                     93,                0.77262,                0.32791,                0.97587,                0.98227,                0.96974,                 0.9917,                0.79547,                0.82514,                0.31039,                 0.9974,             0.00012747,             0.00012747,             0.00012747
                     94,                0.76951,                0.32209,                0.97464,                0.97654,                0.97325,                0.99124,                0.79826,                0.82565,                0.30936,                0.99676,             0.00011332,             0.00011332,             0.00011332
                     95,                 0.7512,                0.31376,                0.96766,                0.97536,                0.97356,                0.99124,                0.79711,                0.82571,                 0.3087,                0.99664,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.76018,                0.31695,                0.97329,                0.98093,                 0.9715,                0.99212,                0.79842,                0.82447,                0.30707,                0.99617,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.75234,                0.31449,                0.97083,                0.98071,                0.97248,                0.99193,                0.79812,                0.82523,                0.30575,                 0.9966,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.75206,                0.31662,                0.96719,                0.98541,                0.96756,                0.99119,                0.79713,                 0.8246,                0.30544,                0.99683,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.74391,                0.30672,                0.96527,                0.98584,                0.96591,                0.99114,                0.79935,                0.82278,                0.30618,                0.99635,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.75078,                0.31737,                0.97132,                0.98563,                0.96617,                0.99153,                0.79862,                0.82069,                0.30659,                0.99486,             2.8437e-05,             2.8437e-05,             2.8437e-05
